Kup,Section,English,Korean
10,General Terms,Training Hall,Dojang
10,General Terms,Training Suit,Dobok
10,General Terms,Instructor,Sabum
10,General Terms,Belt,Ti
10,General Terms,Student,Jeja
10,General Terms,Inner,An
10,General Terms,Outer,Bakat
10,General Terms,Front,Ap
10,General Terms,Side,Yop
10,General Terms,Press Ups,Momtong Bachia
10,Commands,Attention,Charyot
10,Commands,Bow,Kyong-Ye
10,Commands,Ready,Chunbi
10,Commands,Start,Si-Jak
10,Commands,Stop,Goman
10,Commands,Return to Ready Stance,Barrol
10,Commands,Dismiss,Hae San
10,Commands,Forwards,Apro Kaggi
10,Commands,Backwards,Dwiyro Kaggi
10,Commands,About Turn,Dwiyro Torro
10,Commands,Shout,Kihap
10,Commands,Rest/Relax,Shore
10,Counting,One,Hanna
10,Counting,Two,Dool
10,Counting,Three,Set
10,Counting,Four,Net
10,Counting,Five,Dasut
10,Counting,Six,Yasut
10,Counting,Seven,Ilgop
10,Counting,Eight,Yahdol
10,Counting,Nine,Ahop
10,Counting,Ten,Yaul
10,Sections of The Body,Low,Najunde
10,Sections of The Body,Middle,Kahunde
10,Sections of The Body,High,Nopunde
10,Parts of The Body,Fore Fist,Ap Joomuk
10,Parts of The Body,Forearm,Palmok
10,Parts of The Body,Inner Forearm,An Palmo
10,Parts of The Body,Outer Forearm,Bakat Palmok
10,Stances,Attention Stange,Charyot Sogi
10,Stances,Parallel Stance,Narani Sogi
10,Stances,Sitting Stance,Annun Sogi
10,Stances,Walking Stance,Gunnun Sogi
10,Basic Movements,Inner Forearm Block,An Palmok Makgi
10,Basic Movements,Outer Forearm Block,Bakat Palmok Makgi
10,Basic Movements,Front Rising Kick,Ap Cho Olligi
10,Basic Movements,Side Rising Kick,Ap Cha Olligi
10,Basic Movements,Obverse Punch,Baro Jirugi
10,Basic Movements,Reverse Punch,Bandae Jirugi
10,Excercise,4 Directional Punch,Sajo Jirugi
10,Excercise,Colour White,"White Belt - signifies innocence, as that of the beginner student who has no previous knowledge of Tae Kwon-Do."
